#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:EZH2_protein_megaalign_02" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:EZH2_protein_megaalign_02" lower="0.0" name="relativeDeathRate" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:EZH2_protein_megaalign_02" lower="0.0" name="birthDiffRate" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:EZH2_protein_megaalign_02">
#                <taxonset id="TaxonSet.EZH2_protein_megaalign_02" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:EZH2_protein_megaalign_02" name="distribution" x="@BDBirthRate.t:EZH2_protein_megaalign_02">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:EZH2_protein_megaalign_02" name="distribution" x="@BDDeathRate.t:EZH2_protein_megaalign_02">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:EZH2_protein_megaalign_02" name="distribution">
#            <parameter id="gammaShape.s:EZH2_protein_megaalign_02" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:EZH2_protein_megaalign_02" name="distribution">
#            <parameter id="ucldStdev.c:EZH2_protein_megaalign_02" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@EZH2_protein_megaalign_02" id="treeLikelihood.EZH2_protein_megaalign_02" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:EZH2_protein_megaalign_02">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:EZH2_protein_megaalign_02" shape="@gammaShape.s:EZH2_protein_megaalign_02" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:EZH2_protein_megaalign_02" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:EZH2_protein_megaalign_02" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:EZH2_protein_megaalign_02" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:EZH2_protein_megaalign_02" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:EZH2_protein_megaalign_02">
#                <LogNormal S="@ucldStdev.c:EZH2_protein_megaalign_02" id="LogNormalDistributionModel.c:EZH2_protein_megaalign_02" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="48" id="rateCategories.c:EZH2_protein_megaalign_02" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:EZH2_protein_megaalign_02" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	mutationRate	gammaShape	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate
0	-30035.933106137836	-30034.846515234076	-1.0865909037601138	-30034.846515234076	0.5680199989840077	1.0	1.0	0.1	0.9656873158493041	0.011460377328904812	0.10990022780670787	6.001800230101221	1.0	0.5
1000	-18197.427550424592	-18156.59255526945	-40.83499515514422	-18156.59255526945	3.689008418548058	1.0	1.0	1.27231402021877	0.5261227654702086	0.8149568393669309	1.5796285351077413	-29.505923895880787	0.7351690692331505	0.1682554180693116
2000	-17423.086585198267	-17381.589458324594	-41.497126873673835	-17381.589458324594	3.00016016127605	1.0	1.0	1.3650427706014137	0.5016959822548045	0.716799169701143	1.6202257922885663	-29.892858202752084	0.4646307410674882	0.4351016353451271
3000	-17274.090072216226	-17226.129555915086	-47.960516301139094	-17226.129555915086	4.081839621528125	1.0	0.5023817289176187	1.5575676534457852	0.49279373891306133	0.7408408362468697	2.0004120237488245	-36.28899707878152	0.7333743442031498	0.19152089315862417
4000	-17249.91818778899	-17203.49643605436	-46.42175173463131	-17203.49643605436	3.8043866978298593	1.0	0.5023817289176187	1.5865591027834223	0.5072655634338676	0.72485785162175	1.9414410620380136	-34.665828014860246	0.36914693855124153	0.5975152681243037
5000	-17240.533086784373	-17188.88463437202	-51.648452412350416	-17188.88463437202	4.805652994426982	1.0	0.5023817289176187	1.591526022933756	0.5373548967451482	0.9466571926664821	1.9687953157008107	-39.87808379126184	0.2183262946923166	0.7065473234064794
6000	-17228.054758241073	-17177.167341992226	-50.88741624884618	-17177.167341992226	4.987959456514462	1.0	0.473318821557575	1.615984569185884	0.5166051215470295	0.7177429523254396	1.9477467127910895	-39.075044558608774	0.30415380248874413	0.5486698633495222
7000	-17235.285250409303	-17184.292093529555	-50.99315687974852	-17184.292093529555	4.948803916528522	1.0	0.473318821557575	1.5682390756435238	0.5375570446049392	0.7474320815809441	1.9254747076413226	-39.31961399036768	0.6715950194586865	0.23747813670376072
8000	-17216.35944418715	-17168.66120347119	-47.69824071595907	-17168.66120347119	4.509977928422899	1.0	0.473318821557575	1.5682390756435238	0.5696452918349708	0.7559289003585028	1.9739849057366825	-36.024697826578226	0.42776514080288275	0.5708743519314274
9000	-17216.164227643643	-17169.457374079066	-46.70685356457743	-17169.457374079066	4.678681300513652	1.0	0.473318821557575	1.5656642389258357	0.5647246350224635	0.7520981087784874	1.910877330105815	-35.04080938626175	0.48556052850406	0.4020424843873447
10000	-17204.929997614603	-17160.093485324658	-44.83651228994416	-17160.093485324658	3.896942739761249	1.0	0.473318821557575	1.5656642389258357	0.6034502350005932	0.7428815848442297	1.8775470905959228	-33.17046811162848	0.5614954791409652	0.23753588323179947
11000	-17192.828253668493	-17146.54108424848	-46.28716942000943	-17146.54108424848	4.15202549316681	1.0	0.473318821557575	1.5656642389258357	0.5611903665790232	0.7031559367477351	1.8976394491627293	-34.62112524169375	0.5939697799355302	0.4299371113290913
12000	-17167.680364233263	-17120.939374975274	-46.74098925798748	-17120.939374975274	3.826758505803978	1.0	0.473318821557575	1.6006479572367613	0.5722179537345038	0.7489983101873516	2.049259706653176	-34.97316660341958	0.4412561027697805	0.11944800006198132
13000	-17165.9410805694	-17119.747861932312	-46.19321863708567	-17119.747861932312	4.0363900585228425	1.0	0.473318821557575	1.5842325251394378	0.5669467423401837	0.7198104493722638	2.0210979892220076	-34.47312557667925	0.6273918563567489	0.13620828647606145
14000	-16932.908947181048	-16884.048688506	-48.860258675044925	-16884.048688506	4.23711931391176	1.0	0.473318821557575	1.6220629854487116	0.2987998919845194	0.15895468974174076	1.263192159333395	-37.03024221925517	0.6060081080496731	0.4287890388373324
