#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:EZH2_protein_species_megaalign" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:EZH2_protein_species_megaalign" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:EZH2_protein_species_megaalign">
#                <taxonset id="TaxonSet.EZH2_protein_species_megaalign" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:EZH2_protein_species_megaalign" name="distribution" x="@birthRate.t:EZH2_protein_species_megaalign">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:EZH2_protein_species_megaalign" name="distribution">
#            <parameter id="gammaShape.s:EZH2_protein_species_megaalign" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="ucldStdevPrior.c:EZH2_protein_species_megaalign" name="distribution">
#            <parameter id="ucldStdev.c:EZH2_protein_species_megaalign" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@EZH2_protein_species_megaalign" id="treeLikelihood.EZH2_protein_species_megaalign" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:EZH2_protein_species_megaalign">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:EZH2_protein_species_megaalign" shape="@gammaShape.s:EZH2_protein_species_megaalign" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:EZH2_protein_species_megaalign" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:EZH2_protein_species_megaalign" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:EZH2_protein_species_megaalign" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:EZH2_protein_species_megaalign" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:EZH2_protein_species_megaalign">
#                <LogNormal S="@ucldStdev.c:EZH2_protein_species_megaalign" id="LogNormalDistributionModel.c:EZH2_protein_species_megaalign" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="48" id="rateCategories.c:EZH2_protein_species_megaalign" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:EZH2_protein_species_megaalign" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	mutationRate	gammaShape	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	YuleModel	birthRate
0	-32170.855027100202	-32159.89896636631	-10.956060733894608	-32159.89896636631	2.258069607724304	1.0	1.0	0.1	1.0146649764907576	0.008186646974434284	0.0914763572209202	-10.77542487901541	1.0
1000	-18632.053978421704	-18613.981029962393	-18.072948459311817	-18613.981029962393	1.8158315136277992	1.0	1.0	1.0627582210494784	0.7634657031513635	0.4625567635935612	0.926288200712579	-14.28320955476515	1.7553016985651422
2000	-17601.330510662923	-17575.701954403583	-25.628556259341682	-17575.701954403583	2.5643945792370793	1.0	1.0	1.2409932710057172	0.8156245148493712	0.5225599414005995	1.0709357136243227	-21.300728810587525	1.666881364691678
3000	-17309.449840137797	-17284.19263578995	-25.25720434784732	-17284.19263578995	2.7677898189536063	1.0	1.0	1.3340828457038794	0.783843677458285	0.45238237176433854	1.0729862244434472	-20.652321466475335	1.0784055991031105
4000	-17261.653403375072	-17237.55042085555	-24.10298251952315	-17237.55042085555	2.83817115785634	1.0	1.0	1.336795660562804	0.6954543667062633	0.4494242088163007	1.0972339543860838	-19.49006091091695	1.0827657581594359
5000	-17247.59761456485	-17222.648353109093	-24.94926145575636	-17222.648353109093	2.8891512324323974	1.0	1.0	1.3423000361255655	0.6622843487367247	0.4049388959503926	1.0412143685051167	-20.320034868088953	0.9352885126160635
6000	-17244.49802258343	-17220.01633161217	-24.481690971259823	-17220.01633161217	2.915658724308154	1.0	1.0	1.3423000361255655	0.6993511820195909	0.49776191759585914	1.100790617416778	-19.852464383592416	1.1716216864442675
7000	-17164.97704961124	-17133.00743379907	-31.969615812170716	-17133.00743379907	3.8705585037386525	1.0	0.5561884818180372	1.4839866796412784	0.6801102402034291	0.38643996324165664	1.1755547493201957	-27.366996150883608	0.7072270594663803
8000	-17161.10538065193	-17128.22017686352	-32.885203788408376	-17128.22017686352	3.922821119067005	1.0	0.5561884818180372	1.4839866796412784	0.6624105017618227	0.37227127472389243	1.1508137998720478	-28.28258412712127	1.0050081741359416
9000	-17159.406509802313	-17127.80679089341	-31.599718908901686	-17127.80679089341	4.121453280309297	1.0	0.5561884818180372	1.4762170922660454	0.6551363001944851	0.32630101207894663	1.1239321502143524	-27.019860618194784	0.7997496732680567
10000	-16932.115762708738	-16891.67275353811	-40.443009170625544	-16891.67275353811	9.346673344783472	1.0	0.5561884818180372	1.4762170922660454	0.415643429850954	0.3795346989468351	1.131943677471302	-35.863150879918635	0.5593204494639435
11000	-16924.755936968686	-16889.523461165594	-35.232475803090075	-16889.523461165594	6.985543878518226	1.0	0.5561884818180372	1.470099954096939	0.4454235206085442	0.3915614188828985	1.204552651543237	-30.67054692224413	0.7448852038935032
12000	-16910.031002112526	-16876.15933773925	-33.871664373278264	-16876.15933773925	6.805727099527679	1.0	0.5561884818180372	1.3821145154269712	0.4777012342501282	0.5040564962522008	1.2034143165818472	-29.568538136217832	0.8457761985796398
13000	-16902.913284850754	-16869.62081631427	-33.29246853648671	-16869.62081631427	6.149684345630789	1.0	0.5561884818180372	1.3821145154269712	0.5386698802694563	0.601113325023115	1.2428947706144533	-28.989342299426276	0.9902475039622388
14000	-16900.820478276626	-16868.715087683155	-32.1053905934704	-16868.715087683155	5.135053715091358	1.0	0.5561884818180372	1.4139461269378433	0.5381404623376917	0.6401769376495086	1.3384134936251584	-27.70843045680453	0.9568505261330152
